2020zip5,Town_FIPS_22,Town_Name
06235,915013810,Chaplin
06237,911016400,Columbia
06238,911017800,Coventry
06239,915040500,Killingly
06241,915040500,Killingly
06242,915021860,Eastford
06243,915040500,Killingly
06247,915036000,Hampton
06248,911037910,Hebron
06249,918042390,Lebanon
06250,911044910,Mansfield
06254,918029910,Franklin
06255,915075870,Thompson
06256,918086790,Windham
06258,915061030,Pomfret
06259,915061030,Pomfret
06260,915062710,Putnam
06262,915075870,Thompson
06263,915040500,Killingly
06264,915067400,Scotland
06266,918086790,Windham
06268,911044910,Mansfield
06269,911044910,Mansfield
06277,915075870,Thompson
06278,915001430,Ashford
06279,911085950,Willington
06280,918086790,Windham
06281,915088190,Woodstock
06282,915088190,Woodstock
06320,918052350,New London
06330,918071670,Sprague
06331,915012130,Canterbury
06332,915059980,Plainfield
06333,918023400,East Lyme
06334,918006820,Bozrah
06335,918042600,Ledyard
06336,918006820,Bozrah
06338,918042600,Ledyard
06339,918042600,Ledyard
06340,918034250,Groton
06350,918071670,Sprague
06351,918033900,Griswold
06353,918048900,Montville
06354,915059980,Plainfield
06355,918034250,Groton
06357,918023400,East Lyme
06359,918055500,North Stonington
06360,918056270,Norwich
06365,918062150,Preston
06370,918048900,Montville
06371,913044210,Lyme
06373,915073420,Sterling
06374,915059980,Plainfield
06375,918080280,Waterford
06376,913057040,Old Lyme
06377,915073420,Sterling
06378,918073770,Stonington
06379,918073770,Stonington
06380,918056270,Norwich
06382,918048900,Montville
06384,915078600,Voluntown
06385,918080280,Waterford
06387,915059980,Plainfield
06389,918056270,Norwich
06390,918073770,Stonington
06401,914001220,Ansonia
06403,914003250,Beacon Falls
06405,917007310,Branford
06409,913026270,Essex
06410,914014160,Cheshire
06412,913014300,Chester
06413,913015350,Clinton
06414,913022490,East Hampton
06415,918015910,Colchester
06416,913018080,Cromwell
06417,913019130,Deep River
06418,914019550,Derby
06419,913040710,Killingworth
06420,918066210,Salem
06422,913020810,Durham
06423,913022280,East Haddam
06424,913022490,East Hampton
06426,913026270,Essex
06437,917034950,Guilford
06438,913035230,Haddam
06439,913044210,Lyme
06441,913035230,Haddam
06442,913026270,Essex
06443,917044560,Madison
06444,911070550,Southington
06447,911045820,Marlborough
06450,917046520,Meriden
06451,917046520,Meriden
06455,913047080,Middlefield
06456,913022490,East Hampton
06457,913047360,Middletown
06459,913047360,Middletown
06460,917047535,Milford
06461,917047535,Milford
06467,911070550,Southington
06468,912048620,Monroe
06469,913022280,East Haddam
06470,919052980,Newtown
06471,917053890,North Branford
06472,917053890,North Branford
06473,917054870,North Haven
06475,913057320,Old Saybrook
06477,917057600,Orange
06478,914058300,Oxford
06479,911070550,Southington
06480,913061800,Portland
06481,913047080,Middlefield
06482,919052980,Newtown
06483,914067610,Seymour
06484,914068170,Shelton
06488,914069640,Southbury
06489,911070550,Southington
06492,917078740,Wallingford
06498,913081680,Westbrook
06510,917052070,New Haven
06511,917052070,New Haven
06512,917022910,East Haven
06513,917052070,New Haven
06514,917035650,Hamden
06515,917052070,New Haven
06516,917082870,West Haven
06517,917035650,Hamden
06518,917035650,Hamden
06519,917052070,New Haven
06524,917004580,Bethany
06525,917087700,Woodbridge
06604,912008070,Bridgeport
06605,912008070,Bridgeport
06606,912008070,Bridgeport
06607,912008070,Bridgeport
06608,912008070,Bridgeport
06610,912008070,Bridgeport
06611,912077200,Trumbull
06612,912023890,Easton
06614,912074190,Stratford
06615,912074190,Stratford
06702,914080070,Waterbury
06704,914080070,Waterbury
06705,914080070,Waterbury
06706,914080070,Waterbury
06708,914080070,Waterbury
06710,914080070,Waterbury
06712,914062290,Prospect
06716,914087560,Wolcott
06750,916043370,Litchfield
06751,914004930,Bethlehem
06752,919008210,Bridgewater
06753,916017240,Cornwall
06754,916079510,Warren
06755,919052630,New Milford
06756,916032290,Goshen
06757,916040290,Kent
06758,916049460,Morris
06759,916043370,Litchfield
