2010zip5,town,county,town_fips
"06371",Lyme,New London,"0901144210"
"06254",Franklin,New London,"0901129910"
"06403",Beacon Falls,New Haven,"0900903250"
"06378",Stonington,New London,"0901173770"
"06385",Waterford,New London,"0901180280"
"06334",Bozrah,New London,"0901106820"
"06029",Ellington,Tolland,"0901325360"
"06071",Somers,Tolland,"0901369220"
"06320",New London,New London,"0901152350"
"06238",Coventry,Tolland,"0901317800"
"06280",Windham,Windham,"0901586790"
"06354",Plainfield,Windham,"0901559980"
"06259",Pomfret,Windham,"0901561030"
"06279",Willington,Tolland,"0901385950"
"06373",Sterling,Windham,"0901573420"
"06890",Fairfield,Fairfield,"0900126620"
"06482",Newtown,Fairfield,"0900152980"
"06470",Newtown,Fairfield,"0900152980"
"06896",Redding,Fairfield,"0900163480"
"06854",Norwalk,Fairfield,"0900156060"
"06853",Norwalk,Fairfield,"0900156060"
"06856",Norwalk,Fairfield,"0900156060"
"06107",West Hartford,Hartford,"0900382590"
"06090",Granby,Hartford,"0900332640"
"06073",Glastonbury,Hartford,"0900331240"
"06042",Manchester,Hartford,"0900344700"
"06442",Essex,Middlesex,"0900726270"
"06409",Essex,Middlesex,"0900726270"
"06438",Haddam,Middlesex,"0900735230"
"06416",Cromwell,Middlesex,"0900718080"
"06472",North Branford,New Haven,"0900953890"
"06702",Waterbury,New Haven,"0900980070"
"06473",North Haven,New Haven,"0900954870"
"06770",Naugatuck,New Haven,"0900949950"
"06405",Branford,New Haven,"0900907310"
"06263",Killingly,Windham,"0901540500"
"06604",Bridgeport,Fairfield,"0900108070"
"06804",Brookfield,Fairfield,"0900108980"
"06825",Fairfield,Fairfield,"0900126620"
"06112",Hartford,Hartford,"0900337070"
"06489",Southington,Hartford,"0900370550"
"06907",Stamford,Fairfield,"0900173070"
"06615",Stratford,Fairfield,"0900174190"
"06880",Westport,Fairfield,"0900183500"
"06840",New Canaan,Fairfield,"0900150580"
"06117",West Hartford,Hartford,"0900382590"
"06106",Hartford,Hartford,"0900337070"
"06016",East Windsor,Hartford,"0900324800"
"06093",Suffield,Hartford,"0900374540"
"06479",Southington,Hartford,"0900370550"
"06092",Simsbury,Hartford,"0900368940"
"06467",Southington,Hartford,"0900370550"
"06065",Hartland,Hartford,"0900337140"
"06067",Rocky Hill,Hartford,"0900365370"
"06777",Washington,Litchfield,"0900579720"
"06793",Washington,Litchfield,"0900579720"
"06423",East Haddam,Middlesex,"0900722280"
"06460",Milford,New Haven,"0900947535"
"06706",Waterbury,New Haven,"0900980070"
"06492",Wallingford,New Haven,"0900978740"
"06477",Orange,New Haven,"0900957600"
"06514",Hamden,New Haven,"0900935650"
"06517",Hamden,New Haven,"0900935650"
"06450",Meriden,New Haven,"0900946520"
"06762",Middlebury,New Haven,"0900946940"
"06437",Guilford,New Haven,"0900934950"
"06375",Waterford,New London,"0901180280"
"06901",Stamford,Fairfield,"0900173070"
"06850",Norwalk,Fairfield,"0900156060"
"06335",Ledyard,New London,"0901142600"
"06376",Old Lyme,New London,"0901157040"
"06226",Windham,Windham,"0901586790"
"06231",Hebron,Tolland,"0901337910"
"06043",Bolton,Tolland,"0901306260"
"06277",Thompson,Windham,"0901575870"
"06235",Chaplin,Windham,"0901513810"
"06897",Wilton,Fairfield,"0900186370"
"06110",West Hartford,Hartford,"0900382590"
"06605",Bridgeport,Fairfield,"0900108070"
"06831",Greenwich,Fairfield,"0900133620"
"06903",Stamford,Fairfield,"0900173070"
"06484",Shelton,Fairfield,"0900168170"
"06614",Stratford,Fairfield,"0900174190"
"06010",Bristol,Hartford,"0900308490"
"06091",Hartland,Hartford,"0900337140"
"06035",Granby,Hartford,"0900332640"
"06447",Marlborough,Hartford,"0900345820"
"06444",Southington,Hartford,"0900370550"
"06002",Bloomfield,Hartford,"0900305910"
"06026",East Granby,Hartford,"0900322070"
"06451",Meriden,New Haven,"0900946520"
"06020",Canton,Hartford,"0900312270"
"06791",Harwinton,Litchfield,"0900537280"
"06387",Plainfield,Windham,"0901559980"
"06059",Barkhamsted,Litchfield,"0900502760"
"06750",Litchfield,Litchfield,"0900543370"
"06057",New Hartford,Litchfield,"0900551350"
"06018",North Canaan,Litchfield,"0900554030"
"06469",East Haddam,Middlesex,"0900722280"
"06415",Colchester,New London,"0901115910"
"06457",Middletown,Middlesex,"0900747360"
"06441",Haddam,Middlesex,"0900735230"
"06455",Middlefield,Middlesex,"0900747080"
"06483",Seymour,New Haven,"0900967610"
"06515",New Haven,New Haven,"0900952070"
"06705",Waterbury,New Haven,"0900980070"
"06513",New Haven,New Haven,"0900952070"
"06340",Groton,New London,"0901134250"
"06330",Sprague,New London,"0901171670"
"06353",Montville,New London,"0901148900"
"06232",Andover,Tolland,"0901301080"
"06855",Norwalk,Fairfield,"0900156060"
"06066",Vernon,Tolland,"0901378250"
"06237",Columbia,Tolland,"0901316400"
"06870",Greenwich,Fairfield,"0900133620"
"06119",West Hartford,Hartford,"0900382590"
"06716",Wolcott,New Haven,"0900987560"
"06037",Berlin,Hartford,"0900304300"
"06032",Farmington,Hartford,"0900327600"
"06084",Tolland,Tolland,"0901376290"
"06242",Eastford,Windham,"0901521860"
"06255",Thompson,Windham,"0901575870"
"06256",Windham,Windham,"0901586790"
"06027",Hartland,Hartford,"0900337140"
"06062",Plainville,Hartford,"0900360120"
"06109",Wethersfield,Hartford,"0900384900"
"06022",Canton,Hartford,"0900312270"
"06040",Manchester,Hartford,"0900344700"
"06759",Litchfield,Litchfield,"0900543370"
"06796",Cornwall,Litchfield,"0900517240"
"06787",Thomaston,Litchfield,"0900575730"
"06785",Kent,Litchfield,"0900540290"
"06068",Salisbury,Litchfield,"0900566420"
"06795",Watertown,Litchfield,"0900580490"
"06422",Durham,Middlesex,"0900720810"
"06413",Clinton,Middlesex,"0900715350"
"06417",Deep River,Middlesex,"0900719130"
"06424",East Hampton,Middlesex,"0900722490"
"06456",East Hampton,Middlesex,"0900722490"
"06511",New Haven,New Haven,"0900952070"
"06704",Waterbury,New Haven,"0900980070"
"06380",Norwich,New London,"0901156270"
"06333",East Lyme,New London,"0901123400"
"06351",Griswold,New London,"0901133900"
"06336",Bozrah,New London,"0901106820"
"06365",Preston,New London,"0901162150"
"06266",Windham,Windham,"0901586790"
