2010zip5,town,county,town_fips
"06810",Danbury,Fairfield,"0900118500"
"06608",Bridgeport,Fairfield,"0900108070"
"06468",Monroe,Fairfield,"0900148620"
"06089",Simsbury,Hartford,"0900368940"
"06820",Darien,Fairfield,"0900118850"
"06830",Greenwich,Fairfield,"0900133620"
"06902",Stamford,Fairfield,"0900173070"
"06114",Hartford,Hartford,"0900337070"
"06710",Waterbury,New Haven,"0900980070"
"06105",Hartford,Hartford,"0900337070"
"06516",West Haven,New Haven,"0900982870"
"06478",Oxford,New Haven,"0900958300"
"06370",Montville,New London,"0901148900"
"06360",Norwich,New London,"0901156270"
"06382",Montville,New London,"0901148900"
"06384",Voluntown,New London,"0901178600"
"06051",New Britain,Hartford,"0900350440"
"06070",Simsbury,Hartford,"0900368940"
"06095",Windsor,Hartford,"0900387000"
"06088",East Windsor,Hartford,"0900324800"
"06096",Windsor Locks,Hartford,"0900387070"
"06081",Simsbury,Hartford,"0900368940"
"06160",Hartford,Hartford,"0900337070"
"06118",East Hartford,Hartford,"0900322630"
"06756",Goshen,Litchfield,"0900532290"
"06755",New Milford,Litchfield,"0900552630"
"06782",Plymouth,Litchfield,"0900560750"
"06461",Milford,New Haven,"0900947535"
"06249",Lebanon,New London,"0901142390"
"06389",Norwich,New London,"0901156270"
"06357",East Lyme,New London,"0901123400"
"06250",Mansfield,Tolland,"0901344910"
"06268",Mansfield,Tolland,"0901344910"
"06076",Stafford,Tolland,"0901372090"
"06241",Killingly,Windham,"0901540500"
"06374",Plainfield,Windham,"0901559980"
"06234",Brooklyn,Windham,"0901509190"
"06278",Ashford,Windham,"0901501430"
"06260",Putnam,Windham,"0901562710"
"06264",Scotland,Windham,"0901567400"
"06610",Bridgeport,Fairfield,"0900108070"
"06612",Easton,Fairfield,"0900123890"
"06877",Ridgefield,Fairfield,"0900163970"
"06906",Stamford,Fairfield,"0900173070"
"06812",New Fairfield,Fairfield,"0900150860"
"06001",Avon,Hartford,"0900302060"
"06798",Woodbury,Litchfield,"0900587910"
"06063",Barkhamsted,Litchfield,"0900502760"
"06098",Winchester,Litchfield,"0900586440"
"06751",Bethlehem,Litchfield,"0900504930"
"06031",Canaan,Litchfield,"0900510940"
"06757",Kent,Litchfield,"0900540290"
"06786",Plymouth,Litchfield,"0900560750"
"06758",Morris,Litchfield,"0900549460"
"06708",Waterbury,New Haven,"0900980070"
"06475",Old Saybrook,Middlesex,"0900757320"
"06243",Killingly,Windham,"0901540500"
"06481",Middlefield,Middlesex,"0900747080"
"06332",Plainfield,Windham,"0901559980"
"06811",Danbury,Fairfield,"0900118500"
"06525",Woodbridge,New Haven,"0900987700"
"06712",Prospect,New Haven,"0900962290"
"06410",Cheshire,New Haven,"0900914160"
"06524",Bethany,New Haven,"0900904580"
"06379",Stonington,New London,"0901173770"
"06339",Ledyard,New London,"0901142600"
"06350",Sprague,New London,"0901171670"
"06248",Hebron,Tolland,"0901337910"
"06269",Mansfield,Tolland,"0901344910"
"06281",Woodstock,Windham,"0901588190"
"06239",Killingly,Windham,"0901540500"
"06282",Woodstock,Windham,"0901588190"
"06262",Thompson,Windham,"0901575870"
"06606",Bridgeport,Fairfield,"0900108070"
"06807",Greenwich,Fairfield,"0900133620"
"06611",Trumbull,Fairfield,"0900177200"
"06801",Bethel,Fairfield,"0900104720"
"06784",Sherman,Fairfield,"0900168310"
"06120",Hartford,Hartford,"0900337070"
"06019",Canton,Hartford,"0900312270"
"06085",Farmington,Hartford,"0900327600"
"06103",Hartford,Hartford,"0900337070"
"06878",Greenwich,Fairfield,"0900133620"
"06905",Stamford,Fairfield,"0900173070"
"06883",Weston,Fairfield,"0900183430"
"06111",Newington,Hartford,"0900352140"
"06851",Norwalk,Fairfield,"0900156060"
"06776",New Milford,Litchfield,"0900552630"
"06074",South Windsor,Hartford,"0900371390"
"06033",Glastonbury,Hartford,"0900331240"
"06039",Salisbury,Litchfield,"0900566420"
"06754",Warren,Litchfield,"0900579510"
"06752",Bridgewater,Litchfield,"0900508210"
"06794",Washington,Litchfield,"0900579720"
"06783",Roxbury,Litchfield,"0900565930"
"06779",Watertown,Litchfield,"0900580490"
"06426",Essex,Middlesex,"0900726270"
"06420",Salem,New London,"0901166210"
"06488",Southbury,New Haven,"0900969640"
"06518",Hamden,New Haven,"0900935650"
"06418",Derby,New Haven,"0900919550"
"06401",Ansonia,New Haven,"0900901220"
"06359",North Stonington,New London,"0901155500"
"06331",Canterbury,Windham,"0901512130"
"06247",Hampton,Windham,"0901536000"
"06377",Sterling,Windham,"0901573420"
"06013",Burlington,Hartford,"0900310100"
"06082",Enfield,Hartford,"0900325990"
"06607",Bridgeport,Fairfield,"0900108070"
"06053",New Britain,Hartford,"0900350440"
"06824",Fairfield,Fairfield,"0900126620"
"06052",New Britain,Hartford,"0900350440"
"06023",Berlin,Hartford,"0900304300"
"06060",Granby,Hartford,"0900332640"
"06078",Suffield,Hartford,"0900374540"
"06021",Colebrook,Litchfield,"0900516050"
"06058",Norfolk,Litchfield,"0900553470"
"06778",Litchfield,Litchfield,"0900543370"
"06108",East Hartford,Hartford,"0900322630"
"06763",Morris,Litchfield,"0900549460"
"06069",Sharon,Litchfield,"0900567960"
"06790",Torrington,Litchfield,"0900576570"
"06061",New Hartford,Litchfield,"0900551350"
"06024",North Canaan,Litchfield,"0900554030"
"06419",Killingworth,Middlesex,"0900740710"
"06480",Portland,Middlesex,"0900761800"
"06498",Westbrook,Middlesex,"0900781680"
"06412",Chester,Middlesex,"0900714300"
"06414",East Hampton,Middlesex,"0900722490"
"06512",East Haven,New Haven,"0900922910"
"06471",North Branford,New Haven,"0900953890"
"06519",New Haven,New Haven,"0900952070"
"06510",New Haven,New Haven,"0900952070"
"06443",Madison,New Haven,"0900944560"
"06355",Groton,New London,"0901134250"
